"","district","total_birth","total_consulted","total_not_consulted","percent_consulted","percent_not_consulted"
"94","Awaran",155,19,136,12.258064516129,87.741935483871
"95","Barkhan",142,42,100,29.5774647887324,70.4225352112676
"96","Dera Bugti",119,33,86,27.7310924369748,72.2689075630252
"97","Duki",120,22,98,18.3333333333333,81.6666666666667
"98","Gwadar",69,16,53,23.1884057971014,76.8115942028985
"99","Harnai",101,6,95,5.94059405940594,94.059405940594
"100","Jaffarabad",213,78,135,36.6197183098592,63.3802816901408
"101","Kachhi/ Bolan",161,61,100,37.888198757764,62.111801242236
"102","Kalat",206,55,151,26.6990291262136,73.3009708737864
"103","Kech/Turbat",175,33,142,18.8571428571429,81.1428571428571
"104","Kharan",243,118,125,48.559670781893,51.440329218107
"105","Khuzdar",379,11,368,2.9023746701847,97.0976253298153
"106","Kohlu",16,2,14,12.5,87.5
"107","Lasbela",32,1,31,3.125,96.875
"108","Loralai",175,46,129,26.2857142857143,73.7142857142857
"109","Mastung",124,30,94,24.1935483870968,75.8064516129032
"110","Nasirabad/ Tamboo",196,69,127,35.2040816326531,64.7959183673469
"111","Nushki",136,91,45,66.9117647058823,33.0882352941176
"112","Pishin",294,53,241,18.0272108843537,81.9727891156463
"113","Qilla Abdullah",163,51,112,31.2883435582822,68.7116564417178
"114","Qilla Saifullah",331,54,277,16.3141993957704,83.6858006042296
"115","Quetta",327,92,235,28.1345565749235,71.8654434250764
"116","Shaheed Sikandar Abad",103,17,86,16.504854368932,83.495145631068
"117","Sherani",109,28,81,25.6880733944954,74.3119266055046
"118","Sibbi",141,48,93,34.0425531914894,65.9574468085106
"119","Sohbatpur",105,41,64,39.0476190476191,60.952380952381
"120","Washuk",170,77,93,45.2941176470588,54.7058823529412
"121","Ziarat",93,5,88,5.37634408602151,94.6236559139785
