"","district","Total_places","Private_Hospital","Govt_Dispen","Home_LHV","Other","Percent_Private_Hospitals","Percent_Govt_Hospitals","Percent_Home","Percent_Others"
"88","Sukkur",117,31,46,40,0,26.4957264957265,39.3162393162393,34.1880341880342,0
"89","Tando Allah Yar",110,38,65,7,0,34.5454545454545,59.0909090909091,6.36363636363636,0
"90","Tando Muhammad Khan",139,48,58,33,7,34.5323741007194,41.726618705036,23.7410071942446,5.03597122302158
"91","Tharparkar",153,58,71,24,0,37.9084967320261,46.4052287581699,15.6862745098039,0
"92","Thatta",151,54,74,23,4,35.7615894039735,49.0066225165563,15.2317880794702,2.64900662251656
"93","Umer Kot",119,49,36,34,0,41.1764705882353,30.2521008403361,28.5714285714286,0
"94","Awaran",45,8,18,19,0,17.7777777777778,40,42.2222222222222,0
"95","Barkhan",95,51,12,32,1,53.6842105263158,12.6315789473684,33.6842105263158,1.05263157894737
"96","Dera Bugti",82,4,47,31,0,4.8780487804878,57.3170731707317,37.8048780487805,0
"97","Duki",101,15,22,64,3,14.8514851485149,21.7821782178218,63.3663366336634,2.97029702970297
"98","Gwadar",16,6,6,4,0,37.5,37.5,25,0
"99","Harnai",76,9,29,38,1,11.8421052631579,38.1578947368421,50,1.31578947368421
"100","Jaffarabad",134,42,88,4,0,31.3432835820896,65.6716417910448,2.98507462686567,0
"101","Kachhi/ Bolan",113,35,76,2,0,30.9734513274336,67.2566371681416,1.76991150442478,0
"102","Kalat",149,69,55,25,0,46.3087248322148,36.9127516778523,16.7785234899329,0
"103","Kech/Turbat",70,27,32,11,0,38.5714285714286,45.7142857142857,15.7142857142857,0
"104","Kharan",145,7,19,119,26,4.82758620689655,13.1034482758621,82.0689655172414,17.9310344827586
"105","Khuzdar",24,7,4,13,0,29.1666666666667,16.6666666666667,54.1666666666667,0
"106","Kohlu",12,10,2,0,0,83.3333333333333,16.6666666666667,0,0
"107","Lasbela",21,3,14,4,0,14.2857142857143,66.6666666666667,19.047619047619,0
"108","Loralai",142,36,93,13,0,25.3521126760563,65.4929577464789,9.15492957746479,0
"109","Mastung",74,39,25,10,1,52.7027027027027,33.7837837837838,13.5135135135135,1.35135135135135
"110","Nasirabad/ Tamboo",153,103,49,1,0,67.3202614379085,32.0261437908497,0.65359477124183,0
"111","Nushki",95,5,21,69,13,5.26315789473684,22.1052631578947,72.6315789473684,13.6842105263158
"112","Pishin",144,113,23,8,0,78.4722222222222,15.9722222222222,5.55555555555556,0
"113","Qilla Abdullah",76,38,32,6,1,50,42.1052631578947,7.89473684210526,1.31578947368421
"114","Qilla Saifullah",170,147,16,7,0,86.4705882352941,9.41176470588235,4.11764705882353,0
"115","Quetta",219,73,143,3,5,33.3333333333333,65.296803652968,1.36986301369863,2.28310502283105
"116","Shaheed Sikandar Abad",70,8,44,18,0,11.4285714285714,62.8571428571429,25.7142857142857,0
"117","Sherani",84,10,50,24,1,11.9047619047619,59.5238095238095,28.5714285714286,1.19047619047619
"118","Sibbi",120,7,113,0,0,5.83333333333333,94.1666666666667,0,0
"119","Sohbatpur",98,30,68,0,0,30.6122448979592,69.3877551020408,0,0
"120","Washuk",102,20,38,44,0,19.6078431372549,37.2549019607843,43.1372549019608,0
"121","Ziarat",57,22,7,28,1,38.5964912280702,12.280701754386,49.1228070175439,1.75438596491228
