"","district","total_response","recieved","not_recieved","percent_recieved","percent_not_consulted"
"96","Dera Bugti",119,73,46,61.3445378151261,38.655462184874
"97","Duki",120,5,115,4.16666666666667,95.8333333333333
"98","Gwadar",69,31,38,44.9275362318841,55.0724637681159
"99","Harnai",101,29,72,28.7128712871287,71.2871287128713
"100","Jaffarabad",213,134,79,62.9107981220657,37.0892018779343
"101","Kachhi/ Bolan",161,53,108,32.9192546583851,67.0807453416149
"102","Kalat",206,120,86,58.252427184466,41.747572815534
"103","Kech/Turbat",175,103,72,58.8571428571429,41.1428571428571
"104","Kharan",243,88,155,36.2139917695473,63.7860082304527
"105","Khuzdar",379,35,344,9.23482849604222,90.7651715039578
"106","Kohlu",16,9,7,56.25,43.75
"107","Lasbela",32,8,24,25,75
"108","Loralai",175,87,88,49.7142857142857,50.2857142857143
"109","Mastung",124,81,43,65.3225806451613,34.6774193548387
"110","Nasirabad/ Tamboo",196,154,42,78.5714285714286,21.4285714285714
"111","Nushki",136,45,91,33.0882352941176,66.9117647058823
"112","Pishin",294,58,236,19.7278911564626,80.2721088435374
"113","Qilla Abdullah",163,19,144,11.6564417177914,88.3435582822086
"114","Qilla Saifullah",331,6,325,1.81268882175227,98.1873111782477
"115","Quetta",327,135,192,41.2844036697248,58.7155963302752
"116","Shaheed Sikandar Abad",103,60,43,58.252427184466,41.747572815534
"117","Sherani",109,41,68,37.6146788990826,62.3853211009174
"118","Sibbi",141,42,99,29.7872340425532,70.2127659574468
"119","Sohbatpur",105,86,19,81.9047619047619,18.0952380952381
"120","Washuk",170,82,88,48.2352941176471,51.7647058823529
"121","Ziarat",93,31,62,33.3333333333333,66.6666666666667
