"","district","n()","total_visits","one_to_three","four_to_six","more_than_six","percent_one_to_three","percent_four_to_six","percent_more_than_six"
"98","Gwadar",204,16,16,0,0,100,0,0
"99","Harnai",382,77,40,37,0,51.9480519480519,48.0519480519481,0
"100","Jaffarabad",479,134,106,28,0,79.1044776119403,20.8955223880597,0
"101","Kachhi/ Bolan",440,113,86,24,3,76.1061946902655,21.2389380530973,2.65486725663717
"102","Kalat",687,149,139,10,0,93.2885906040269,6.71140939597315,0
"103","Kech/Turbat",577,70,60,10,0,85.7142857142857,14.2857142857143,0
"104","Kharan",459,171,146,25,0,85.3801169590643,14.6198830409357,0
"105","Khuzdar",734,24,24,0,0,100,0,0
"106","Kohlu",106,12,12,0,0,100,0,0
"107","Lasbela",127,21,13,8,0,61.9047619047619,38.0952380952381,0
"108","Loralai",414,142,105,28,9,73.943661971831,19.7183098591549,6.33802816901408
"109","Mastung",392,75,70,5,0,93.3333333333333,6.66666666666667,0
"110","Nasirabad/ Tamboo",483,153,85,68,0,55.5555555555556,44.4444444444444,0
"111","Nushki",300,108,74,34,0,68.5185185185185,31.4814814814815,0
"112","Pishin",784,144,129,15,0,89.5833333333333,10.4166666666667,0
"113","Qilla Abdullah",482,77,40,37,0,51.9480519480519,48.0519480519481,0
"114","Qilla Saifullah",660,170,121,48,1,71.1764705882353,28.2352941176471,0.588235294117647
"115","Quetta",828,224,141,71,12,62.9464285714286,31.6964285714286,5.35714285714286
"116","Shaheed Sikandar Abad",280,70,48,22,0,68.5714285714286,31.4285714285714,0
"117","Sherani",219,85,84,1,0,98.8235294117647,1.17647058823529,0
"118","Sibbi",411,120,80,39,1,66.6666666666667,32.5,0.833333333333333
"119","Sohbatpur",176,98,98,0,0,100,0,0
"120","Washuk",482,102,47,48,7,46.078431372549,47.0588235294118,6.86274509803922
"121","Ziarat",378,58,20,38,0,34.4827586206897,65.5172413793103,0
