"","district","total_birth","total_consulted","total_not_consulted","percent_consulted","percent_not_consulted"
"110","Nasirabad/ Tamboo",196,153,43,78.0612244897959,21.9387755102041
"111","Nushki",136,108,28,79.4117647058823,20.5882352941176
"112","Pishin",294,144,150,48.9795918367347,51.0204081632653
"113","Qilla Abdullah",163,77,86,47.239263803681,52.760736196319
"114","Qilla Saifullah",331,170,161,51.3595166163142,48.6404833836858
"115","Quetta",327,224,103,68.5015290519878,31.4984709480122
"116","Shaheed Sikandar Abad",103,70,33,67.9611650485437,32.0388349514563
"117","Sherani",109,85,24,77.9816513761468,22.0183486238532
"118","Sibbi",141,120,21,85.1063829787234,14.8936170212766
"119","Sohbatpur",105,98,7,93.3333333333333,6.66666666666667
"120","Washuk",170,102,68,60,40
"121","Ziarat",93,58,35,62.3655913978495,37.6344086021505
