"","District","Total_responses","onetotwo_rooms","threetofour_rooms","greater_thanfive_rooms","percent_one_to_two","percent_threetofour_rooms","percent_greater_thanfive_rooms"
"91","Tharparkar",1020,751,255,14,73.6274509803922,25,1.37254901960784
"92","Thatta",800,749,48,3,93.625,6,0.375
"93","Umer Kot",600,539,57,4,89.8333333333333,9.5,0.666666666666667
"94","Awaran",345,340,5,0,98.5507246376812,1.44927536231884,0
"95","Barkhan",500,207,281,12,41.4,56.2,2.4
"96","Dera Bugti",480,341,136,3,71.0416666666667,28.3333333333333,0.625
"97","Duki",270,62,189,19,22.962962962963,70,7.03703703703704
"98","Gwadar",228,189,38,1,82.8947368421053,16.6666666666667,0.43859649122807
"99","Harnai",370,168,171,31,45.4054054054054,46.2162162162162,8.37837837837838
"100","Jaffarabad",508,489,18,1,96.259842519685,3.54330708661417,0.196850393700787
"101","Kachhi/ Bolan",479,385,86,8,80.3757828810021,17.9540709812109,1.67014613778706
"102","Kalat",660,535,119,6,81.0606060606061,18.030303030303,0.909090909090909
"103","Kech/Turbat",611,509,100,2,83.3060556464812,16.366612111293,0.327332242225859
"104","Kharan",492,334,152,6,67.8861788617886,30.8943089430894,1.21951219512195
"105","Khuzdar",793,747,45,1,94.1992433795713,5.67465321563682,0.126103404791929
"106","Kohlu",143,22,83,38,15.3846153846154,58.041958041958,26.5734265734266
"107","Lasbela",150,94,56,0,62.6666666666667,37.3333333333333,0
"108","Loralai",426,99,293,34,23.2394366197183,68.7793427230047,7.981220657277
"109","Mastung",464,360,73,31,77.5862068965517,15.7327586206897,6.68103448275862
"110","Nasirabad/ Tamboo",508,485,23,0,95.4724409448819,4.52755905511811,0
"111","Nushki",349,195,153,1,55.8739255014327,43.8395415472779,0.286532951289398
"112","Pishin",906,90,471,345,9.93377483443709,51.9867549668874,38.0794701986755
"113","Qilla Abdullah",435,147,139,149,33.7931034482759,31.9540229885057,34.2528735632184
"114","Qilla Saifullah",509,152,248,109,29.8624754420432,48.7229862475442,21.4145383104126
"115","Quetta",752,186,355,211,24.7340425531915,47.2074468085106,28.0585106382979
"116","Shaheed Sikandar Abad",304,284,20,0,93.4210526315789,6.57894736842105,0
"117","Sherani",210,98,104,8,46.6666666666667,49.5238095238095,3.80952380952381
"118","Sibbi",499,445,51,3,89.1783567134269,10.2204408817635,0.601202404809619
"119","Sohbatpur",180,176,4,0,97.7777777777778,2.22222222222222,0
"120","Washuk",497,384,110,3,77.2635814889336,22.1327967806841,0.603621730382294
"121","Ziarat",357,129,189,39,36.1344537815126,52.9411764705882,10.9243697478992
