"","district","Total_response","Satisfied","Staff_lackness","Other","Percent_Satisfied","Percent_Staff_lackness","Percent_Other_problems"
"85","Shaheed Banazir Abad",186,147,6,33,79.0322580645161,3.2258064516129,17.741935483871
"86","Shikarpur",70,44,0,26,62.8571428571429,0,37.1428571428571
"87","Sujawal",271,135,26,110,49.8154981549816,9.59409594095941,40.590405904059
"88","Sukkur",190,157,4,29,82.6315789473684,2.10526315789474,15.2631578947368
"89","Tando Allah Yar",213,110,20,83,51.6431924882629,9.38967136150235,38.9671361502347
"90","Tando Muhammad Khan",364,234,22,108,64.2857142857143,6.04395604395604,29.6703296703297
"91","Tharparkar",180,172,0,8,95.5555555555556,0,4.44444444444444
"92","Thatta",380,207,28,145,54.4736842105263,7.36842105263158,38.1578947368421
"93","Umer Kot",81,70,0,11,86.4197530864197,0,13.5802469135802
"94","Awaran",0,0,0,0,NA,NA,NA
"95","Barkhan",258,239,11,8,92.6356589147287,4.26356589147287,3.10077519379845
"96","Dera Bugti",50,6,30,14,12,60,28
"97","Duki",143,1,40,102,0.699300699300699,27.972027972028,71.3286713286713
"98","Gwadar",85,76,1,8,89.4117647058824,1.17647058823529,9.41176470588235
"99","Harnai",16,14,0,2,87.5,0,12.5
"100","Jaffarabad",107,61,12,34,57.0093457943925,11.214953271028,31.7757009345794
"101","Kachhi/ Bolan",248,163,13,72,65.7258064516129,5.24193548387097,29.0322580645161
"102","Kalat",172,152,8,12,88.3720930232558,4.65116279069767,6.97674418604651
"103","Kech/Turbat",220,162,10,48,73.6363636363636,4.54545454545455,21.8181818181818
"104","Kharan",147,30,46,71,20.4081632653061,31.2925170068027,48.2993197278912
"105","Khuzdar",5,3,1,1,60,20,20
"106","Kohlu",24,17,5,2,70.8333333333333,20.8333333333333,8.33333333333333
"107","Lasbela",52,37,1,14,71.1538461538462,1.92307692307692,26.9230769230769
"108","Loralai",136,86,11,39,63.2352941176471,8.08823529411765,28.6764705882353
"109","Mastung",92,82,4,6,89.1304347826087,4.34782608695652,6.52173913043478
"110","Nasirabad/ Tamboo",97,46,4,47,47.4226804123711,4.12371134020619,48.4536082474227
"111","Nushki",81,17,12,52,20.9876543209877,14.8148148148148,64.1975308641975
"112","Pishin",247,104,10,133,42.1052631578947,4.04858299595142,53.8461538461538
"113","Qilla Abdullah",176,123,16,37,69.8863636363636,9.09090909090909,21.0227272727273
"114","Qilla Saifullah",31,11,1,19,35.4838709677419,3.2258064516129,61.2903225806452
"115","Quetta",208,133,5,70,63.9423076923077,2.40384615384615,33.6538461538462
"116","Shaheed Sikandar Abad",108,70,19,19,64.8148148148148,17.5925925925926,17.5925925925926
"117","Sherani",57,1,15,41,1.75438596491228,26.3157894736842,71.9298245614035
"118","Sibbi",98,86,4,8,87.7551020408163,4.08163265306122,8.16326530612245
"119","Sohbatpur",84,52,10,22,61.9047619047619,11.9047619047619,26.1904761904762
"120","Washuk",208,105,11,92,50.4807692307692,5.28846153846154,44.2307692307692
"121","Ziarat",34,21,3,10,61.7647058823529,8.82352941176471,29.4117647058824
